target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Initial Setting Time (IST),9,10,24,0.0001,0.0036576895479568552,21.239327874185737
Initial Setting Time (IST),9,11,24,0.0001,0.0034723112640724675,21.19788875327902
Initial Setting Time (IST),9,12,24,0.00018931083362886276,0.004130296110539039,21.187053807436826
Initial Setting Time (IST),9,13,24,0.0001,0.005218497118306925,21.651465612298793
Initial Setting Time (IST),9,14,24,0.0001,0.003387529346743845,21.293057325494033
Initial Setting Time (IST),10,0,24,0.00014700333614003485,0.003961103476234144,21.2639620905676
Initial Setting Time (IST),10,1,24,0.0001,0.003866854405860409,21.225777709599484
Initial Setting Time (IST),10,2,24,0.0001,0.002986154658579633,21.51713054285984
Initial Setting Time (IST),10,3,24,0.0001,0.0035463574363745884,21.196923896725576
Initial Setting Time (IST),10,4,24,0.00011435447313958735,0.003748700835205777,21.228166280452324
Initial Setting Time (IST),10,5,24,0.00015367517401029858,0.0024944445957635836,21.995680477638412
Initial Setting Time (IST),10,6,23,0.0001,0.005511827489776382,22.81123808138913
Initial Setting Time (IST),10,7,24,0.00015521973513216267,0.003886825394005458,21.241395205229015
Initial Setting Time (IST),10,8,24,0.00013379656670438052,0.0038070880932624855,21.225058045627677
Initial Setting Time (IST),10,9,24,0.0001,0.003810124414673754,21.22758360170776
Initial Setting Time (IST),10,10,24,0.0001,0.00366570651621702,21.17477542671325
Initial Setting Time (IST),10,11,24,0.00011371151647796681,0.0030655902292631033,21.420253612324885
Initial Setting Time (IST),10,12,24,0.0002535349299201116,0.0030130995319082045,21.487434359348885
Initial Setting Time (IST),10,13,24,0.0001796616693622057,0.004207916253751212,21.273005752968462
Initial Setting Time (IST),10,14,24,0.0001,0.0030293340539752755,21.479229064722468
Initial Setting Time (IST),11,0,24,0.00013995466975760037,0.0031889809329224573,21.337262264803748
Initial Setting Time (IST),11,1,24,0.0001,0.003790004057920866,21.22088453901081
Initial Setting Time (IST),11,2,24,0.0001,0.00388866762793981,21.188942732860973
Initial Setting Time (IST),11,3,24,0.0001,0.0030603262422029412,21.44976111491041
Initial Setting Time (IST),11,4,24,0.00012420955318445518,0.003594142942980528,21.180111580245956
Initial Setting Time (IST),11,5,24,0.0001,0.002172753827065704,22.706950908656477
Initial Setting Time (IST),11,6,24,0.000109860352406084,0.0036128255937387605,21.170136664769903
